08, 13, 26, 35, 45, 51
F1-1,F2-15,F3-24,F4-31,F5-34,F6-44
F1-3,F2-8,F3-29,F4-30,F5-31,F6-49
F1-21,F2-25,F3-39,F4-50,F5-54,F6-59
F1-15,F2-19,F3-32,F4-38,F5-47,F6-50
F1-21,F2-25,F3-27,F4-39,F5-44,F6-56
F1-3,F2-8,F3-13,F4-21,F5-33,F6-41
F1-8,F2-14,F3-19,F4-35,F5-42,F6-50
F1-1,F2-6,F3-23,F4-30,F5-40,F6-51
F1-5,F2-17,F3-30,F4-35,F5-41,F6-49
F1-5,F2-8,F3-21,F4-24,F5-50,F6-56
F1-8,F2-18,F3-34,F4-44,F5-50,F6-54
F1-3,F2-8,F3-25,F4-31,F5-38,F6-44
F1-1,F2-17,F3-25,F4-27,F5-28,F6-50
F1-1,F2-2,F3-32,F4-33,F5-36,F6-39
F1-7,F2-12,F3-20,F4-34,F5-51,F6-52
F1-8,F2-18,F3-21,F4-22,F5-26,F6-49
F1-9,F2-10,F3-20,F4-34,F5-55,F6-56
F1-6,F2-8,F3-11,F4-17,F5-22,F6-41
F1-21,F2-27,F3-29,F4-34,F5-41,F6-48
F1-5,F2-7,F3-13,F4-38,F5-44,F6-48
F1-5,F2-22,F3-35,F4-47,F5-52,F6-58
F1-10,F2-25,F3-35,F4-45,F5-48,F6-49
F1-2,F2-14,F3-15,F4-21,F5-48,F6-51
F1-7,F2-43,F3-46,F4-49,F5-52,F6-57
F1-1,F2-11,F3-35,F4-50,F5-55,F6-56
F1-6,F2-15,F3-18,F4-31,F5-48,F6-53
F1-2,F2-9,F3-18,F4-26,F5-36,F6-57
F1-6,F2-15,F3-26,F4-30,F5-55,F6-56
F1-19,F2-20,F3-25,F4-36,F5-38,F6-53
F1-2,F2-18,F3-21,F4-38,F5-39,F6-44
F1-17,F2-26,F3-35,F4-47,F5-55,F6-57
F1-1,F2-10,F3-20,F4-23,F5-29,F6-31
F1-1,F2-17,F3-32,F4-42,F5-43,F6-54
F1-11,F2-15,F3-31,F4-39,F5-47,F6-48
F1-1,F2-10,F3-17,F4-20,F5-23,F6-34
F1-5,F2-16,F3-21,F4-30,F5-38,F6-49
F1-11,F2-23,F3-28,F4-39,F5-44,F6-53
F1-11,F2-16,F3-20,F4-22,F5-30,F6-37
F1-1,F2-9,F3-32,F4-36,F5-56,F6-57
F1-9,F2-16,F3-21,F4-28,F5-30,F6-48
F1-18,F2-34,F3-37,F4-38,F5-42,F6-55
F1-2,F2-3,F3-30,F4-43,F5-55,F6-59
F1-16,F2-25,F3-28,F4-29,F5-46,F6-48
F1-14,F2-30,F3-33,F4-45,F5-52,F6-59
F1-14,F2-17,F3-23,F4-25,F5-39,F6-45
F1-4,F2-5,F3-10,F4-46,F5-50,F6-56
F1-4,F2-24,F3-30,F4-37,F5-40,F6-45
F1-8,F2-19,F3-22,F4-31,F5-44,F6-53
F1-15,F2-18,F3-25,F4-26,F5-27,F6-52
F1-7,F2-17,F3-29,F4-47,F5-57,F6-59
F1-8,F2-20,F3-22,F4-24,F5-33,F6-41
F1-4,F2-7,F3-19,F4-21,F5-26,F6-56
F1-7,F2-19,F3-44,F4-47,F5-48,F6-54
F1-3,F2-16,F3-27,F4-33,F5-51,F6-58
F1-8,F2-23,F3-25,F4-26,F5-40,F6-58
F1-9,F2-16,F3-20,F4-32,F5-34,F6-41
F1-21,F2-24,F3-36,F4-38,F5-41,F6-47
F1-2,F2-19,F3-26,F4-33,F5-50,F6-58
F1-15,F2-31,F3-33,F4-37,F5-49,F6-55
F1-2,F2-8,F3-11,F4-16,F5-37,F6-54
F1-7,F2-9,F3-13,F4-33,F5-35,F6-59
F1-2,F2-11,F3-15,F4-19,F5-23,F6-56
F1-2,F2-8,F3-17,F4-23,F5-27,F6-55
F1-7,F2-26,F3-39,F4-41,F5-50,F6-56
F1-8,F2-9,F3-10,F4-22,F5-31,F6-49
F1-10,F2-20,F3-30,F4-31,F5-42,F6-49
F1-4,F2-8,F3-14,F4-27,F5-44,F6-50
F1-6,F2-10,F3-17,F4-31,F5-35,F6-51
F1-5,F2-7,F3-21,F4-27,F5-29,F6-50
F1-6,F2-12,F3-15,F4-23,F5-39,F6-56
F1-16,F2-24,F3-32,F4-34,F5-39,F6-54
F1-9,F2-12,F3-13,F4-14,F5-23,F6-53
F1-1,F2-5,F3-10,F4-16,F5-28,F6-34
F1-5,F2-14,F3-23,F4-25,F5-33,F6-48
F1-4,F2-44,F3-46,F4-49,F5-54,F6-59
F1-12,F2-15,F3-31,F4-40,F5-47,F6-59
F1-6,F2-26,F3-35,F4-39,F5-50,F6-52
F1-14,F2-20,F3-21,F4-47,F5-51,F6-54
F1-7,F2-16,F3-30,F4-40,F5-51,F6-56
F1-3,F2-14,F3-22,F4-45,F5-50,F6-56
F1-1,F2-7,F3-11,F4-22,F5-42,F6-52
F1-6,F2-10,F3-13,F4-27,F5-29,F6-43
F1-2,F2-15,F3-20,F4-24,F5-48,F6-53
F1-7,F2-11,F3-21,F4-42,F5-45,F6-52
F1-4,F2-20,F3-26,F4-30,F5-54,F6-58
F1-27,F2-36,F3-37,F4-51,F5-58,F6-59
F1-5,F2-7,F3-15,F4-23,F5-32,F6-44
F1-18,F2-22,F3-30,F4-51,F5-55,F6-59
F1-3,F2-10,F3-24,F4-29,F5-44,F6-52
F1-18,F2-19,F3-25,F4-42,F5-52,F6-56
F1-7,F2-28,F3-37,F4-45,F5-48,F6-52
F1-5,F2-13,F3-21,F4-23,F5-38,F6-57
F1-4,F2-10,F3-28,F4-35,F5-38,F6-55
F1-2,F2-15,F3-23,F4-39,F5-54,F6-56
F1-5,F2-13,F3-23,F4-33,F5-45,F6-57
F1-6,F2-9,F3-29,F4-33,F5-52,F6-57
F1-4,F2-6,F3-19,F4-24,F5-33,F6-41
F1-4,F2-6,F3-7,F4-20,F5-44,F6-57
F1-13,F2-15,F3-19,F4-32,F5-34,F6-48
F1-9,F2-35,F3-41,F4-45,F5-54,F6-55
F1-7,F2-17,F3-36,F4-38,F5-48,F6-55
F1-9,F2-12,F3-18,F4-33,F5-36,F6-50
F1-3,F2-23,F3-29,F4-38,F5-45,F6-58
F1-3,F2-7,F3-11,F4-15,F5-52,F6-58
F1-11,F2-18,F3-35,F4-51,F5-53,F6-55
F1-4,F2-10,F3-23,F4-47,F5-53,F6-58
F1-14,F2-35,F3-36,F4-44,F5-51,F6-58
F1-3,F2-11,F3-16,F4-17,F5-46,F6-53
F1-8,F2-39,F3-42,F4-44,F5-48,F6-49
F1-11,F2-20,F3-23,F4-28,F5-45,F6-57
F1-2,F2-9,F3-10,F4-16,F5-24,F6-44
F1-5,F2-24,F3-29,F4-31,F5-39,F6-48
F1-1,F2-2,F3-18,F4-42,F5-55,F6-57
F1-5,F2-6,F3-23,F4-35,F5-36,F6-44
F1-1,F2-20,F3-25,F4-40,F5-42,F6-46
F1-3,F2-11,F3-29,F4-37,F5-41,F6-49
F1-13,F2-22,F3-27,F4-46,F5-49,F6-53
F1-9,F2-20,F3-21,F4-28,F5-32,F6-50
F1-2,F2-5,F3-11,F4-24,F5-45,F6-52
F1-24,F2-27,F3-37,F4-50,F5-51,F6-58
F1-8,F2-26,F3-34,F4-35,F5-44,F6-50
F1-16,F2-19,F3-28,F4-32,F5-53,F6-54
F1-19,F2-30,F3-36,F4-39,F5-46,F6-47
F1-4,F2-9,F3-17,F4-21,F5-43,F6-57
F1-4,F2-12,F3-13,F4-17,F5-49,F6-58
F1-4,F2-17,F3-35,F4-39,F5-43,F6-45
F1-1,F2-14,F3-32,F4-35,F5-41,F6-54
F1-6,F2-14,F3-24,F4-29,F5-35,F6-54
F1-1,F2-9,F3-11,F4-48,F5-50,F6-53
F1-1,F2-12,F3-14,F4-22,F5-23,F6-28
F1-6,F2-14,F3-25,F4-44,F5-45,F6-58
F1-2,F2-24,F3-38,F4-49,F5-55,F6-57
F1-3,F2-13,F3-30,F4-40,F5-47,F6-57
F1-10,F2-15,F3-29,F4-34,F5-36,F6-43
F1-15,F2-30,F3-31,F4-43,F5-53,F6-54
F1-22,F2-37,F3-40,F4-44,F5-45,F6-49
F1-4,F2-28,F3-36,F4-37,F5-54,F6-56
F1-12,F2-15,F3-31,F4-40,F5-45,F6-50
F1-4,F2-12,F3-14,F4-27,F5-29,F6-35
F1-17,F2-19,F3-20,F4-22,F5-31,F6-50
F1-2,F2-10,F3-33,F4-39,F5-41,F6-52
F1-20,F2-24,F3-31,F4-38,F5-43,F6-47
F1-10,F2-12,F3-34,F4-45,F5-51,F6-55
F1-3,F2-4,F3-30,F4-37,F5-43,F6-53
F1-21,F2-29,F3-38,F4-39,F5-51,F6-54
F1-5,F2-6,F3-16,F4-20,F5-56,F6-59
F1-7,F2-12,F3-26,F4-33,F5-38,F6-39
F1-3,F2-5,F3-29,F4-39,F5-42,F6-43
F1-19,F2-23,F3-28,F4-41,F5-43,F6-55
F1-1,F2-24,F3-27,F4-36,F5-51,F6-55
F1-7,F2-8,F3-30,F4-39,F5-41,F6-57
F1-11,F2-27,F3-31,F4-41,F5-42,F6-56
F1-8,F2-20,F3-30,F4-32,F5-46,F6-58
F1-12,F2-13,F3-14,F4-31,F5-34,F6-48
F1-10,F2-12,F3-16,F4-20,F5-28,F6-47
F1-4,F2-31,F3-35,F4-42,F5-46,F6-58
F1-5,F2-16,F3-25,F4-28,F5-34,F6-45
F1-2,F2-7,F3-31,F4-33,F5-48,F6-55
F1-6,F2-14,F3-27,F4-38,F5-50,F6-58
F1-21,F2-32,F3-38,F4-47,F5-48,F6-58
F1-7,F2-8,F3-17,F4-21,F5-25,F6-32
F1-10,F2-14,F3-24,F4-43,F5-45,F6-53
F1-10,F2-22,F3-25,F4-33,F5-34,F6-54
F1-4,F2-19,F3-22,F4-25,F5-43,F6-44
F1-15,F2-17,F3-19,F4-27,F5-36,F6-57
F1-2,F2-9,F3-13,F4-19,F5-24,F6-46
F1-3,F2-10,F3-14,F4-22,F5-46,F6-47
F1-2,F2-10,F3-18,F4-25,F5-38,F6-40
F1-14,F2-16,F3-25,F4-26,F5-27,F6-35
F1-2,F2-5,F3-30,F4-32,F5-45,F6-46
F1-4,F2-18,F3-40,F4-45,F5-52,F6-56
F1-8,F2-43,F3-46,F4-48,F5-53,F6-55
F1-12,F2-24,F3-32,F4-49,F5-52,F6-56
F1-6,F2-9,F3-11,F4-17,F5-32,F6-58
F1-6,F2-7,F3-32,F4-45,F5-48,F6-52
F1-4,F2-17,F3-25,F4-31,F5-42,F6-45
F1-8,F2-20,F3-33,F4-36,F5-42,F6-57
F1-13,F2-14,F3-15,F4-37,F5-52,F6-54
F1-12,F2-16,F3-33,F4-42,F5-50,F6-59
F1-13,F2-29,F3-37,F4-43,F5-51,F6-58
F1-4,F2-10,F3-22,F4-34,F5-40,F6-54
F1-2,F2-13,F3-22,F4-30,F5-53,F6-55
F1-11,F2-15,F3-16,F4-29,F5-37,F6-55
F1-1,F2-3,F3-7,F4-24,F5-30,F6-41
F1-5,F2-20,F3-28,F4-50,F5-54,F6-57
F1-4,F2-14,F3-21,F4-29,F5-35,F6-53
F1-9,F2-16,F3-22,F4-28,F5-49,F6-50
F1-8,F2-13,F3-29,F4-30,F5-37,F6-53
F1-17,F2-28,F3-31,F4-32,F5-39,F6-59
F1-6,F2-9,F3-10,F4-12,F5-49,F6-56
F1-10,F2-25,F3-32,F4-44,F5-51,F6-58
F1-5,F2-8,F3-15,F4-40,F5-51,F6-53
F1-16,F2-31,F3-32,F4-37,F5-40,F6-45
F1-6,F2-10,F3-17,F4-21,F5-29,F6-44
F1-7,F2-14,F3-16,F4-29,F5-45,F6-56
F1-29,F2-32,F3-34,F4-37,F5-52,F6-57
F1-5,F2-15,F3-26,F4-51,F5-55,F6-57
F1-7,F2-12,F3-32,F4-37,F5-38,F6-50
F1-6,F2-10,F3-13,F4-31,F5-33,F6-39
F1-3,F2-28,F3-30,F4-37,F5-49,F6-54
F1-13,F2-24,F3-35,F4-50,F5-57,F6-58
F1-10,F2-14,F3-18,F4-22,F5-33,F6-57
F1-7,F2-11,F3-32,F4-37,F5-47,F6-51
F1-8,F2-12,F3-22,F4-30,F5-41,F6-44
F1-11,F2-15,F3-16,F4-25,F5-44,F6-47
F1-20,F2-30,F3-33,F4-36,F5-38,F6-57
F1-27,F2-29,F3-31,F4-38,F5-51,F6-52
F1-4,F2-22,F3-25,F4-53,F5-54,F6-58
F1-7,F2-11,F3-14,F4-21,F5-40,F6-48
F1-6,F2-10,F3-20,F4-30,F5-43,F6-46
F1-8,F2-16,F3-17,F4-25,F5-40,F6-54
F1-10,F2-14,F3-18,F4-30,F5-33,F6-55
F1-3,F2-10,F3-12,F4-38,F5-57,F6-58
F1-23,F2-25,F3-31,F4-38,F5-43,F6-44
F1-7,F2-9,F3-26,F4-29,F5-50,F6-55
F1-7,F2-11,F3-13,F4-26,F5-34,F6-39
F1-15,F2-24,F3-29,F4-34,F5-39,F6-54
F1-24,F2-29,F3-42,F4-43,F5-47,F6-53
F1-18,F2-33,F3-35,F4-46,F5-51,F6-59
F1-1,F2-6,F3-19,F4-26,F5-40,F6-41
F1-16,F2-19,F3-20,F4-40,F5-51,F6-55
F1-6,F2-7,F3-15,F4-31,F5-51,F6-53
F1-6,F2-7,F3-19,F4-22,F5-27,F6-40
F1-5,F2-16,F3-35,F4-47,F5-49,F6-55
F1-10,F2-11,F3-32,F4-34,F5-35,F6-46
F1-2,F2-26,F3-32,F4-35,F5-44,F6-52
F1-22,F2-25,F3-35,F4-37,F5-44,F6-52
F1-17,F2-26,F3-31,F4-39,F5-47,F6-50
F1-21,F2-24,F3-31,F4-35,F5-45,F6-54
F1-8,F2-12,F3-21,F4-51,F5-54,F6-56
F1-4,F2-15,F3-28,F4-29,F5-30,F6-55
F1-1,F2-2,F3-25,F4-38,F5-46,F6-49
F1-7,F2-10,F3-14,F4-15,F5-22,F6-31
F1-1,F2-2,F3-26,F4-33,F5-40,F6-41
F1-3,F2-19,F3-27,F4-43,F5-50,F6-53
F1-6,F2-18,F3-30,F4-34,F5-35,F6-56
F1-11,F2-27,F3-29,F4-40,F5-51,F6-58
F1-5,F2-8,F3-11,F4-33,F5-48,F6-57
F1-1,F2-12,F3-30,F4-37,F5-44,F6-49
F1-1,F2-22,F3-28,F4-30,F5-45,F6-49
F1-3,F2-13,F3-19,F4-31,F5-32,F6-34
F1-13,F2-22,F3-24,F4-26,F5-27,F6-50
F1-15,F2-18,F3-39,F4-45,F5-52,F6-53
F1-1,F2-4,F3-6,F4-13,F5-14,F6-35
F1-15,F2-28,F3-31,F4-49,F5-50,F6-57
F1-6,F2-10,F3-12,F4-27,F5-52,F6-54
F1-2,F2-5,F3-13,F4-18,F5-28,F6-36
F1-7,F2-8,F3-12,F4-21,F5-37,F6-45
F1-2,F2-5,F3-11,F4-33,F5-50,F6-54
F1-23,F2-30,F3-46,F4-49,F5-53,F6-58
F1-12,F2-16,F3-23,F4-38,F5-54,F6-55
F1-15,F2-17,F3-19,F4-27,F5-28,F6-32
F1-5,F2-26,F3-27,F4-43,F5-54,F6-59
F1-17,F2-19,F3-29,F4-37,F5-40,F6-50
F1-4,F2-14,F3-21,F4-23,F5-30,F6-39
F1-14,F2-16,F3-27,F4-39,F5-47,F6-48
F1-1,F2-4,F3-6,F4-25,F5-30,F6-54
F1-6,F2-18,F3-31,F4-43,F5-53,F6-54
F1-6,F2-17,F3-24,F4-30,F5-35,F6-40
F1-2,F2-11,F3-14,F4-17,F5-34,F6-38
F1-16,F2-21,F3-25,F4-36,F5-49,F6-59
F1-13,F2-17,F3-20,F4-31,F5-36,F6-43
F1-25,F2-45,F3-46,F4-49,F5-51,F6-58
F1-13,F2-26,F3-37,F4-41,F5-42,F6-46
F1-11,F2-18,F3-38,F4-41,F5-49,F6-53
F1-1,F2-6,F3-11,F4-24,F5-25,F6-39
F1-9,F2-38,F3-40,F4-41,F5-48,F6-54
F1-5,F2-8,F3-16,F4-25,F5-31,F6-46
F1-4,F2-7,F3-23,F4-39,F5-56,F6-59
F1-18,F2-39,F3-43,F4-47,F5-48,F6-55
F1-38,F2-45,F3-47,F4-49,F5-51,F6-56
F1-19,F2-26,F3-28,F4-29,F5-48,F6-57
F1-12,F2-16,F3-22,F4-34,F5-42,F6-54
F1-2,F2-3,F3-6,F4-15,F5-20,F6-55
F1-5,F2-17,F3-23,F4-29,F5-34,F6-40
F1-5,F2-8,F3-31,F4-35,F5-53,F6-57
F1-20,F2-21,F3-30,F4-36,F5-44,F6-58
F1-5,F2-7,F3-11,F4-20,F5-26,F6-38
F1-7,F2-15,F3-28,F4-32,F5-39,F6-56
F1-3,F2-4,F3-29,F4-34,F5-43,F6-53
F1-7,F2-17,F3-37,F4-47,F5-48,F6-52
F1-8,F2-20,F3-30,F4-49,F5-50,F6-57
F1-3,F2-29,F3-32,F4-45,F5-50,F6-57
F1-12,F2-19,F3-23,F4-33,F5-54,F6-55
F1-17,F2-20,F3-23,F4-36,F5-51,F6-59
F1-11,F2-14,F3-23,F4-28,F5-34,F6-47
F1-4,F2-29,F3-31,F4-32,F5-48,F6-54
F1-4,F2-19,F3-27,F4-29,F5-36,F6-50
F1-14,F2-21,F3-40,F4-49,F5-53,F6-58
F1-15,F2-32,F3-36,F4-42,F5-44,F6-49
F1-5,F2-32,F3-41,F4-54,F5-56,F6-57
F1-20,F2-26,F3-31,F4-39,F5-42,F6-55
F1-8,F2-15,F3-19,F4-27,F5-38,F6-59
F1-22,F2-26,F3-32,F4-44,F5-46,F6-56
F1-10,F2-22,F3-25,F4-31,F5-38,F6-44
F1-1,F2-4,F3-7,F4-18,F5-44,F6-45
F1-2,F2-5,F3-25,F4-46,F5-52,F6-56
F1-8,F2-22,F3-25,F4-28,F5-36,F6-56
F1-6,F2-9,F3-11,F4-12,F5-25,F6-46
F1-3,F2-9,F3-28,F4-42,F5-43,F6-52
F1-2,F2-21,F3-22,F4-34,F5-48,F6-59
F1-18,F2-23,F3-25,F4-27,F5-48,F6-57
F1-7,F2-15,F3-17,F4-20,F5-22,F6-37
F1-2,F2-37,F3-41,F4-46,F5-47,F6-50
F1-3,F2-19,F3-36,F4-44,F5-46,F6-55
F1-4,F2-19,F3-24,F4-29,F5-47,F6-56
F1-30,F2-32,F3-47,F4-54,F5-55,F6-57
F1-23,F2-31,F3-34,F4-35,F5-43,F6-46
F1-6,F2-9,F3-34,F4-44,F5-49,F6-58
F1-25,F2-29,F3-33,F4-37,F5-42,F6-51
F1-8,F2-17,F3-22,F4-39,F5-44,F6-54
F1-11,F2-21,F3-24,F4-40,F5-49,F6-55
F1-8,F2-13,F3-15,F4-18,F5-19,F6-46
F1-4,F2-8,F3-26,F4-28,F5-31,F6-44
F1-9,F2-10,F3-13,F4-22,F5-30,F6-39
F1-24,F2-27,F3-35,F4-36,F5-51,F6-58
F1-3,F2-15,F3-24,F4-43,F5-51,F6-58
F1-1,F2-4,F3-11,F4-46,F5-47,F6-59
F1-2,F2-40,F3-42,F4-52,F5-54,F6-57
F1-5,F2-17,F3-42,F4-44,F5-53,F6-57
F1-3,F2-10,F3-38,F4-44,F5-47,F6-57
F1-9,F2-18,F3-27,F4-47,F5-51,F6-53
F1-4,F2-12,F3-13,F4-15,F5-27,F6-43
F1-3,F2-17,F3-33,F4-35,F5-43,F6-59
F1-8,F2-28,F3-31,F4-32,F5-42,F6-52
F1-15,F2-17,F3-28,F4-38,F5-50,F6-54
F1-6,F2-7,F3-14,F4-32,F5-42,F6-43
F1-6,F2-25,F3-31,F4-34,F5-39,F6-41
F1-3,F2-5,F3-10,F4-41,F5-54,F6-58
F1-1,F2-22,F3-29,F4-40,F5-42,F6-58
F1-2,F2-4,F3-9,F4-23,F5-30,F6-34
F1-2,F2-10,F3-17,F4-26,F5-35,F6-53
F1-1,F2-20,F3-35,F4-36,F5-52,F6-59
F1-24,F2-27,F3-36,F4-42,F5-50,F6-52
F1-2,F2-4,F3-19,F4-23,F5-49,F6-51
F1-17,F2-42,F3-45,F4-50,F5-51,F6-52
F1-2,F2-11,F3-12,F4-20,F5-36,F6-49
F1-3,F2-4,F3-31,F4-37,F5-39,F6-58
F1-14,F2-15,F3-23,F4-32,F5-45,F6-47
F1-6,F2-12,F3-16,F4-20,F5-35,F6-41
F1-3,F2-20,F3-24,F4-25,F5-54,F6-58
F1-31,F2-33,F3-41,F4-50,F5-51,F6-54
F1-3,F2-16,F3-19,F4-24,F5-36,F6-57
F1-19,F2-20,F3-41,F4-42,F5-44,F6-54
F1-8,F2-18,F3-37,F4-46,F5-49,F6-57
F1-21,F2-27,F3-28,F4-52,F5-56,F6-57
F1-10,F2-37,F3-38,F4-43,F5-49,F6-50
F1-7,F2-17,F3-28,F4-34,F5-43,F6-50
F1-22,F2-28,F3-31,F4-45,F5-49,F6-56
F1-1,F2-3,F3-15,F4-30,F5-49,F6-52
F1-20,F2-28,F3-38,F4-40,F5-44,F6-59
F1-3,F2-26,F3-34,F4-36,F5-42,F6-57
F1-20,F2-30,F3-39,F4-46,F5-47,F6-58
F1-13,F2-19,F3-24,F4-34,F5-40,F6-46
F1-3,F2-10,F3-11,F4-26,F5-39,F6-54
F1-11,F2-18,F3-23,F4-25,F5-35,F6-53
F1-5,F2-17,F3-22,F4-26,F5-29,F6-56
F1-14,F2-19,F3-32,F4-46,F5-48,F6-55
F1-5,F2-31,F3-38,F4-40,F5-43,F6-44
F1-8,F2-27,F3-32,F4-35,F5-51,F6-59
F1-9,F2-23,F3-26,F4-38,F5-46,F6-51
F1-14,F2-34,F3-47,F4-50,F5-51,F6-56
F1-8,F2-36,F3-40,F4-41,F5-46,F6-54
F1-1,F2-11,F3-21,F4-45,F5-53,F6-58
F1-18,F2-27,F3-35,F4-40,F5-45,F6-53
F1-6,F2-19,F3-23,F4-28,F5-42,F6-55
F1-6,F2-20,F3-30,F4-32,F5-37,F6-57
F1-2,F2-3,F3-11,F4-24,F5-38,F6-54
F1-3,F2-9,F3-31,F4-44,F5-47,F6-57
F1-1,F2-16,F3-17,F4-20,F5-40,F6-43
F1-4,F2-36,F3-39,F4-52,F5-53,F6-54
F1-22,F2-26,F3-29,F4-31,F5-35,F6-49
F1-7,F2-14,F3-22,F4-42,F5-49,F6-58
F1-9,F2-13,F3-16,F4-27,F5-50,F6-56
F1-2,F2-7,F3-30,F4-52,F5-53,F6-58
F1-3,F2-30,F3-34,F4-44,F5-45,F6-51
F1-11,F2-19,F3-26,F4-29,F5-47,F6-50
F1-7,F2-10,F3-13,F4-25,F5-29,F6-57
F1-5,F2-8,F3-16,F4-23,F5-27,F6-31
F1-8,F2-12,F3-20,F4-53,F5-56,F6-59
F1-21,F2-30,F3-32,F4-38,F5-46,F6-53
F1-6,F2-16,F3-26,F4-36,F5-41,F6-57
F1-8,F2-16,F3-23,F4-34,F5-43,F6-49
F1-20,F2-34,F3-41,F4-47,F5-54,F6-57
F1-2,F2-19,F3-31,F4-39,F5-47,F6-54
F1-5,F2-13,F3-15,F4-38,F5-52,F6-53
F1-1,F2-6,F3-8,F4-12,F5-37,F6-48
F1-6,F2-11,F3-36,F4-41,F5-46,F6-53
F1-23,F2-29,F3-46,F4-48,F5-52,F6-57
F1-18,F2-23,F3-27,F4-37,F5-43,F6-50
F1-13,F2-23,F3-29,F4-30,F5-43,F6-47
F1-3,F2-18,F3-23,F4-37,F5-50,F6-58
F1-12,F2-25,F3-31,F4-40,F5-41,F6-53
F1-1,F2-33,F3-38,F4-54,F5-55,F6-56
F1-4,F2-8,F3-25,F4-29,F5-54,F6-57
F1-4,F2-22,F3-40,F4-41,F5-43,F6-44
F1-3,F2-12,F3-16,F4-20,F5-24,F6-36
F1-12,F2-13,F3-16,F4-24,F5-25,F6-39
F1-11,F2-13,F3-35,F4-41,F5-47,F6-56
F1-8,F2-9,F3-11,F4-13,F5-25,F6-53
F1-7,F2-11,F3-15,F4-26,F5-45,F6-49
F1-8,F2-30,F3-51,F4-54,F5-57,F6-58
F1-7,F2-17,F3-22,F4-51,F5-57,F6-59
F1-14,F2-19,F3-29,F4-34,F5-40,F6-52
F1-1,F2-2,F3-11,F4-30,F5-39,F6-48
F1-2,F2-16,F3-17,F4-18,F5-42,F6-50
F1-4,F2-26,F3-28,F4-30,F5-37,F6-46
F1-10,F2-12,F3-15,F4-30,F5-45,F6-57
F1-13,F2-17,F3-27,F4-38,F5-52,F6-57
F1-7,F2-16,F3-24,F4-26,F5-55,F6-56
F1-31,F2-32,F3-34,F4-48,F5-54,F6-55
F1-2,F2-8,F3-24,F4-42,F5-44,F6-58
F1-1,F2-3,F3-39,F4-46,F5-50,F6-53
F1-10,F2-37,F3-38,F4-40,F5-50,F6-52
F1-15,F2-19,F3-33,F4-46,F5-52,F6-53
F1-13,F2-14,F3-21,F4-43,F5-50,F6-51
